title,link,description,published,source,guid
"Saia badly misses Q1 mark, shares off 24% pre-market",https://finance.yahoo.com/news/saia-badly-misses-q1-mark-125030192.html?.tsrc=rss,"Less-than-truckload carrier Saia’s first quarter was much worse than analysts feared. The post Saia badly misses Q1 mark, shares off 24% pre-market appeared first on FreightWaves.",2025-04-25 12:50:30,Yahoo! Finance: SAIA News,a21f1ff6-9a00-3289-8aa2-c3e61f4621f7
Saia: Q1 Earnings Snapshot,https://finance.yahoo.com/news/saia-q1-earnings-snapshot-113907373.html?.tsrc=rss,"On a per-share basis, the Johns Creek, Georgia-based company said it had profit of $1.86. The results fell short of Wall Street expectations. The average estimate of eight analysts surveyed by Zacks Investment Research was for earnings of $2.77 per share.",2025-04-25 11:39:07,Yahoo! Finance: SAIA News,8578d85b-e389-3326-9137-ec074883c6c9
"Saia (NASDAQ:SAIA) Reports Sales Below Analyst Estimates In Q1 Earnings, Stock Drops 10.8%",https://finance.yahoo.com/news/saia-nasdaq-saia-reports-sales-113607974.html?.tsrc=rss,Freight transportation and logistics provider Saia (NASDAQ:SAIA) fell short of the market’s revenue expectations in Q1 CY2025 as sales rose 4.3% year on year to $787.6 million. Its GAAP profit of $1.86 per share was 32.6% below analysts’ consensus estimates.,2025-04-25 11:36:07,Yahoo! Finance: SAIA News,cef11a8f-d30e-3ce4-8121-59e9ece47910
Saia Reports First Quarter Results,https://finance.yahoo.com/news/saia-reports-first-quarter-results-113000265.html?.tsrc=rss,"JOHNS CREEK, Ga., April 25, 2025 (GLOBE NEWSWIRE) -- Saia, Inc. (Nasdaq: SAIA), a leading transportation provider offering national less-than-truckload (LTL), non-asset truckload, expedited and logistics services, today reported first quarter 2025 financial results. Diluted earnings per share for the quarter were $1.86 compared to $3.38 in the first quarter of 2024. Highlights from the first quarter operating results were as follows: First Quarter 2025 Compared to First Quarter 2024 Results Reve",2025-04-25 11:30:00,Yahoo! Finance: SAIA News,2adb18e5-816c-3854-9dc5-a761fa939f78
Saia (SAIA) Reports Earnings Tomorrow: What To Expect,https://finance.yahoo.com/news/saia-saia-reports-earnings-tomorrow-070058858.html?.tsrc=rss,Freight transportation and logistics provider Saia (NASDAQ:SAIA) will be reporting results tomorrow morning. Here’s what investors should know.,2025-04-24 07:00:58,Yahoo! Finance: SAIA News,41b9bc8b-2974-3f12-9f69-8a6d2ff6f3e4
"Oxford Industries, YETI, Warner Bros. Discovery, Matthews, and Saia Shares Plummet, What You Need To Know",https://finance.yahoo.com/news/oxford-industries-yeti-warner-bros-195542022.html?.tsrc=rss,"A number of stocks fell in the afternoon session after Federal Reserve Chair Jerome Powell signaled a cautious stance on future monetary policy decisions during a speech in Chicago, emphasizing that trade tariffs could add upward pressure to inflation in the short term and complicate the Fed's efforts to stabilize the economy. He warned that such trade measures are ""likely to move us further away from our goals,"" referring to the Fed's dual mandate of price stability and maximum employment.",2025-04-16 19:55:42,Yahoo! Finance: SAIA News,bc4700e6-05ab-34dc-9225-a0894eff99dd
"Saia to Announce First Quarter 2025 Results on April 25, 2025",https://finance.yahoo.com/news/saia-announce-first-quarter-2025-203000773.html?.tsrc=rss,"JOHNS CREEK, Ga., April 08, 2025 (GLOBE NEWSWIRE) -- Saia, Inc. (Nasdaq: SAIA), a leading transportation provider offering national less-than-truckload (LTL), non-asset truckload, expedited and logistics services, announced that it will release its quarterly financial results before the market opens on Friday, April 25th. Saia management will host a conference call to discuss the results later that morning at 10:00 a.m. Eastern Time. To participate in the call, please dial 1-877-317-6789 and req",2025-04-08 20:30:00,Yahoo! Finance: SAIA News,3aeb6fb5-af94-3e7f-b24e-4a7fac076d12
Saia moving customer service function to its terminals,https://finance.yahoo.com/news/saia-moving-customer-function-terminals-224717445.html?.tsrc=rss,Less-than-truckload carrier Saia has restructured its customer service function and will now have local terminals rather than remote representatives handle the inbound. The post Saia moving customer service function to its terminals appeared first on FreightWaves.,2025-04-06 22:47:17,Yahoo! Finance: SAIA News,b38030ac-5cf8-35f3-87a4-4afe8309446d
"Is Saia, Inc. (SAIA) the Best Freight Stock to Buy According to Hedge Funds?",https://finance.yahoo.com/news/saia-inc-saia-best-freight-144407347.html?.tsrc=rss,"We recently published a list of 12 Best Freight Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where Saia, Inc. (NASDAQ:SAIA) stands against other best freight stocks to buy according to hedge funds. Freight stocks are often perceived as boring if compared to the flashy […]",2025-04-04 14:44:07,Yahoo! Finance: SAIA News,391255f6-9493-389f-a5ef-445ace03156e
3 Reasons to Sell SAIA and 1 Stock to Buy Instead,https://finance.yahoo.com/news/3-reasons-sell-saia-1-090337898.html?.tsrc=rss,"Over the past six months, Saia’s shares (currently trading at $349.43) have posted a disappointing 19.4% loss while the S&amp;P 500 was down 1.7%. This might have investors contemplating their next move.",2025-04-01 09:03:37,Yahoo! Finance: SAIA News,37c6b438-4170-346d-87f3-b6a5bc288da8
Saia (NASDAQ:SAIA) stock performs better than its underlying earnings growth over last five years,https://finance.yahoo.com/news/saia-nasdaq-saia-stock-performs-140335368.html?.tsrc=rss,"Saia, Inc. ( NASDAQ:SAIA ) shareholders might be concerned after seeing the share price drop 21% in the last quarter...",2025-03-28 14:03:35,Yahoo! Finance: SAIA News,8744038e-87c9-3298-afa9-8f9f07978ae4
"Is Saia, Inc. (NASDAQ:SAIA) the Worst Depressed Stock to Buy Now?",https://finance.yahoo.com/news/saia-inc-nasdaq-saia-worst-192237166.html?.tsrc=rss,"We recently published a list of 12 Worst Depressed Stocks To Buy Now. In this article, we are going to take a look at where Saia, Inc. (NASDAQ:SAIA) stands against other worst depressed stocks to buy now. Will the “Fed Put” Come into Play? With the recent pressure on the equity market from tariffs the market […]",2025-03-22 19:22:37,Yahoo! Finance: SAIA News,e957eeb4-1539-3fbd-95b2-e1b399857752
Knight-Swift adds LTL veteran to board as it targets Northeast expansion,https://finance.yahoo.com/news/knight-swift-adds-ltl-veteran-151950897.html?.tsrc=rss,Knight-Swift Transportation has added former Saia Chief Financial Officer Doug Col to its board. The post Knight-Swift adds LTL veteran to board as it targets Northeast expansion appeared first on FreightWaves.,2025-03-14 15:19:50,Yahoo! Finance: SAIA News,c122e1e1-3959-3a2e-ac89-eecb937ed579
Saia Joins the Atlanta Braves as Exclusive LTL Freight Partner,https://finance.yahoo.com/news/saia-joins-atlanta-braves-exclusive-152200904.html?.tsrc=rss,"The partnership includes the sponsorship of Braves Country Baseball and SoftballJOHNS CREEK, Ga., March 11, 2025 (GLOBE NEWSWIRE) -- Saia Inc. (NASDAQ: SAIA) is proud to announce that Saia LTL Freight has entered a multi-year partnership with the Atlanta Braves, becoming their exclusive LTL freight partner. The partnership with the Atlanta Braves is a natural fit for Saia, a company headquartered just north of Atlanta, Georgia, that has been delivering exceptional freight solutions for over a ce",2025-03-11 15:22:00,Yahoo! Finance: SAIA News,197f9242-f047-3942-98e3-e340342b4e72
"Old Dominion, Saia stay on different paths to overcome same challenge in Q1",https://finance.yahoo.com/news/old-dominion-saia-stay-different-181905985.html?.tsrc=rss,"Less-than-truckload carriers Old Dominion and Saia maintained their respective growth strategies in February while both await a market turn. The post Old Dominion, Saia stay on different paths to overcome same challenge in Q1 appeared first on FreightWaves.",2025-03-04 18:19:05,Yahoo! Finance: SAIA News,8e30e335-967d-3dc7-aec9-2a27a59097e0
Saia Provides First Quarter LTL Operating Data,https://finance.yahoo.com/news/saia-provides-first-quarter-ltl-123000264.html?.tsrc=rss,"JOHNS CREEK, Ga., March 04, 2025 (GLOBE NEWSWIRE) -- Saia, Inc. (Nasdaq: SAIA), a leading transportation provider offering national less-than-truckload (LTL), non-asset truckload, expedited and logistics services, is providing LTL shipment and tonnage data for the first two months of the first quarter. In January 2025, LTL shipments per workday increased 6.8%, LTL tonnage per workday increased 13.8% and LTL weight per shipment increased 6.5% to 1,421 pounds compared to 1,334 pounds in January 20",2025-03-04 12:30:00,Yahoo! Finance: SAIA News,53b80a6b-7ee2-35a0-8c21-ccd3f41cd900
Saia Full Year 2024 Earnings: In Line With Expectations,https://finance.yahoo.com/news/saia-full-2024-earnings-line-100946619.html?.tsrc=rss,Saia ( NASDAQ:SAIA ) Full Year 2024 Results Key Financial Results Revenue: US$3.21b (up 11% from FY 2023). Net income...,2025-02-26 10:09:46,Yahoo! Finance: SAIA News,4027acf8-e7a8-3aca-843a-d9c1d6ed6ded
"Saia, Inc. (SAIA): Jim Cramer on This LTL Freight Stock—’I Don’t See Any Improvement’",https://finance.yahoo.com/news/saia-inc-saia-jim-cramer-224434477.html?.tsrc=rss,"We recently published a list of Jim Cramer on 10 Stocks With The Biggest Declines Last Week. In this article, we are going to take a look at where Saia, Inc. (NASDAQ:SAIA) stands against other stocks with the biggest declines last week that Jim Cramer discussed. On Monday, Jim Cramer, the host of Mad Money, […]",2025-02-25 22:44:34,Yahoo! Finance: SAIA News,b6189c82-acba-340d-9644-844da5ce6b47
"Calculating The Fair Value Of Saia, Inc. (NASDAQ:SAIA)",https://finance.yahoo.com/news/calculating-fair-value-saia-inc-133719984.html?.tsrc=rss,Key Insights The projected fair value for Saia is US$488 based on 2 Stage Free Cash Flow to Equity Saia's US$407 share...,2025-02-22 13:37:19,Yahoo! Finance: SAIA News,09bc5a7e-de0f-327a-98a7-9af65ab2e86f
Ground Transportation Stocks Q4 Teardown: Saia (NASDAQ:SAIA) Vs The Rest,https://finance.yahoo.com/news/ground-transportation-stocks-q4-teardown-120119017.html?.tsrc=rss,"Looking back on ground transportation stocks’ Q4 earnings, we examine this quarter’s best and worst performers, including Saia (NASDAQ:SAIA) and its peers.",2025-02-17 12:01:19,Yahoo! Finance: SAIA News,7b849325-bdba-319c-8805-2f26e0838b8c
