title,link,description,published,source,guid
Apple reportedly producing more iPhones in India: What to know,https://finance.yahoo.com/video/apple-reportedly-producing-more-iphones-135750525.html?.tsrc=rss,"Apple (AAPL) may be accelerating its shift away from Chinese manufacturing, as it reportedly plans to move more iPhone production to India, according to Reuters. Yahoo Finance Technology Editor Dan Howley joins Morning Brief to explain how Apple is positioning India as a key manufacturing hub for US-bound iPhones amid uncertainty over US trade policy. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.",2025-04-25 13:57:50,Yahoo! Finance: AAPL News,69040559-875e-3ea7-a302-694ea63e71ea
Cloud AI Today - Automating Cloud Security: A New Era in Threat Management,https://finance.yahoo.com/news/cloud-ai-today-automating-cloud-123809598.html?.tsrc=rss,"The recent announcement of IONIX's Cloud Exposure Validator highlights a significant advancement in cloud AI security operations. By automating over 80% of CNAPP alert analysis, this AI-driven solution helps security teams by reducing alert fatigue and enabling a focus on genuine, exploitable risks, reclassifying 40% of alerts as non-critical. This tool promises to streamline the manual alert validation process, traditionally a time-consuming task, thereby enhancing operational efficiency and...",2025-04-25 12:38:09,Yahoo! Finance: AAPL News,3de56e2b-c633-3ff0-91a9-c2597270e3bf
"Verizon, AT&T, and T-Mobile prepare to raise prices on consumers because of Trump's trade war",https://finance.yahoo.com/news/verizon-att-and-t-mobile-prepare-to-raise-prices-on-consumers-because-of-trumps-trade-war-122549340.html?.tsrc=rss,America's biggest phone carriers warn about much higher prices if tariffs on smartphones were to kick in.,2025-04-25 12:25:49,Yahoo! Finance: AAPL News,ff501f52-c86c-4bb8-b59c-bef574d1832e
2 Top Stocks You Can Buy Now With $500,https://www.fool.com/investing/2025/04/25/2-top-stocks-you-can-buy-now-with-500/?.tsrc=rss,"Wall Street's concerns over tariffs and how President Donald Trump's trade wars will impact the U.S. economy have sent the Nasdaq Composite down by around 18% year to date, and it's off more than 20% from its peak.  For less than $500, you can buy one share each of Amazon (NASDAQ: AMZN) and Apple (NASDAQ: AAPL).  The market sell-off has taken Amazon down to $166 per share at the time of this writing.",2025-04-25 12:00:00,Yahoo! Finance: AAPL News,d224b2b9-14d5-31ed-95c0-cb1f0fe293a7
Apple to shift iPhone production to India,https://www.investmentmonitor.ai/news/apple-to-shift-iphone-production-to-india/?.tsrc=rss,"As the US's trade war with China persists, the electronics giant is taking rapid steps to secure its supply chain.",2025-04-25 11:58:06,Yahoo! Finance: AAPL News,2881a3d1-2cd6-3512-860f-32a520c58819
5 Things to Know Before the Stock Market Opens,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-april-25-2025-11721880?.tsrc=rss,"News of the day for April 25, 2025",2025-04-25 11:49:50,Yahoo! Finance: AAPL News,dc815374-826d-3c31-bda0-8ed767f0ba8a
"Apple iPhones Will Cost More, CEOs Warned. It Has a Plan to Neuter Tariffs.",https://finance.yahoo.com/m/66919f44-1e4a-34f8-95ea-3901fb87e7e9/apple-iphones-will-cost-more%2C.html?.tsrc=rss,"Apple  is squarely in the middle of the U.S.-China trade war but it has a plan to avoid a sharp increase in the cost of iPhones.  The chief executives of both  Verizon Communications  and  AT&amp;T  warned this week that they would pass on any increase in handset prices resulting from tariffs to consumers—a potential blow to Apple, coming on top of a lackluster sales cycle for the iPhone 16 released last year.  The Trump administration has temporarily exempted smartphones, computers, and other items from the current duties of 145% on China imports.",2025-04-25 11:48:00,Yahoo! Finance: AAPL News,66919f44-1e4a-34f8-95ea-3901fb87e7e9
Apple plans to shift all US-bound iPhone production from China to India in response to Trump tariffs,https://www.independent.co.uk/news/business/apple-iphone-china-india-trump-tariffs-b2739368.html?.tsrc=rss,Tariffs are starting to see major companies react with changes to their supply chains and production locations,2025-04-25 10:45:31,Yahoo! Finance: AAPL News,9c185fe0-76df-3ec3-bde2-a48c0d9cf15b
Apple to move production of US iPhones from China to India over tariffs – report,https://uk.finance.yahoo.com/news/apple-move-production-us-iphones-102254064.html?.tsrc=rss,"Experts have already warned the price of electronics generally, and not just Apple products, are likely to rise.",2025-04-25 10:22:54,Yahoo! Finance: AAPL News,aa374da1-b2e7-3a42-ae45-ba54f0b0daba
"Apple Plans to Move US-Bound iPhone Assembly to India From China, Report Says",https://www.investopedia.com/apple-plans-to-move-us-bound-iphone-assembly-to-india-from-china-report-says-11721859?.tsrc=rss,"Apple reportedly is planning to move the assembly of all iPhones it sells in the U.S. to India, as President Donald Trump's tariffs prompt companies to lower their exposure to China.",2025-04-25 10:11:55,Yahoo! Finance: AAPL News,a1728b42-09cc-376e-9186-da0e075f62b0
